subId,trial,block,randomized,bird_position,bag_position,bucket_position,completed,stayed,time_elapsed
sample_subId,12,4,1,34.823,33.717,42,1,0,1011880
sample_subId,13,4,1,40.425,32.995,38,1,0,1016609
sample_subId,14,4,1,29.859,30.022,36,1,0,1021439
sample_subId,15,4,1,35.99,37.122,34,1,0,1026228
sample_subId,16,4,1,34.291,34.545,42,1,0,1030864
sample_subId,17,4,1,35.459,37.192,40,1,0,1035622
sample_subId,18,4,1,21.701,23.392,38,1,0,1040585
sample_subId,19,4,1,12.81,18.008,32,1,0,1045303
sample_subId,20,4,1,21.036,16.837,18,1,0,1049914
sample_subId,21,4,1,35.24,28.095,18,1,1,1053936
sample_subId,22,4,1,33.314,36.579,34,1,0,1058545
sample_subId,23,4,1,37.54,36.227,40,1,0,1063334
sample_subId,24,4,1,50.009,45.15,42,1,0,1068168
sample_subId,25,4,1,62.424,66.872,48,1,0,1072804
sample_subId,26,4,1,49.368,47.338,54,1,0,1077501
sample_subId,27,4,1,42.011,45.606,50,1,0,1082927
sample_subId,28,4,1,39.089,40.598,46,1,0,1087715
sample_subId,29,4,1,48.904,54.714,40,1,0,1092423
sample_subId,30,4,1,39.33,41.118,46,1,0,1097469
sample_subId,31,4,1,37.282,39.865,42,1,0,1102133
sample_subId,32,4,1,46.178,43.683,38,1,0,1106864
sample_subId,33,4,1,46.64,44.259,42,1,0,1111651
sample_subId,34,4,1,49.799,56.245,44,1,0,1116455
sample_subId,35,4,1,47.544,46.148,44,1,1,1120462
sample_subId,36,4,1,53.063,53.719,48,1,0,1125083
sample_subId,37,4,1,59.564,53.017,52,1,0,1129667
sample_subId,38,4,1,56.128,58.454,52,1,1,1133679
sample_subId,39,4,1,68.709,68.193,60,1,0,1138416
sample_subId,40,4,1,72.844,74.575,72,1,0,1143282
sample_subId,41,4,1,68.393,67.413,74,1,0,1148283
sample_subId,42,4,1,72.616,68.275,70,1,0,1153447
sample_subId,43,4,1,68.87,75.593,66,1,0,1158330
sample_subId,44,4,1,67.784,68.49,74,1,0,1163071
sample_subId,45,4,1,72.069,63.783,70,1,0,1167807
sample_subId,46,4,1,64.759,65.603,64,1,0,1172355
sample_subId,47,4,1,62.339,60.008,62,1,0,1177124
sample_subId,48,4,1,54.139,54.212,60,1,0,1181787
sample_subId,49,4,1,49.34,55.319,58,1,0,1186457
sample_subId,50,4,1,55.824,54.125,56,1,0,1191572
